Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Modem,94.87,0,4.21,1.83,33.0,16.0,,,,50,49.0,1.54,0.0,1.25,3.23,3.05,2.59,2.88,4.27
Laptop,68.16,0,5.5,2.44,45.0,10.0,26.0,21.0,12.0,33,49.0,1.85,2.26,0.0,4.66,3.3,1.01,1.39,0.0
Laptop,30.21,0,7.65,6.24,11.0,16.0,17.0,46.0,15.0,44,32.0,4.58,3.61,4.99,0.0,4.72,1.61,0.0,2.85
Projector,88.83,1,1.81,13.31,,,,29.0,,46,15.0,0.96,0.07,0.0,3.66,0.0,1.27,0.0,1.75
Modem,75.97,0,1.42,14.77,32.0,49.0,,,,26,14.0,3.75,1.79,0.82,0.34,0.0,1.96,0.0,0.86
Accessories,64.54,0,9.57,1.91,,,,,,41,39.0,0.0,0.0,2.29,2.71,3.01,1.87,3.12,4.66
Microwave,31.41,1,9.44,10.9,,,,,,45,22.0,3.55,0.0,0.0,3.65,0.77,3.8,0.96,4.85
Fax Machine,77.75,1,8.23,3.58,,,,48.0,21.0,12,43.0,4.93,0.0,0.0,0.67,1.49,3.44,2.11,0.0
Washing Machine,50.41,1,6.27,9.89,,,,,,50,20.0,1.41,0.35,4.13,0.0,1.28,2.39,0.07,3.88
Router,29.4,0,0.01,10.38,15.0,33.0,,,,42,46.0,3.52,0.06,1.96,0.31,2.96,4.33,0.0,0.25
Printer,78.49,0,3.84,8.82,,10.0,,,44.0,36,47.0,0.0,2.16,0.0,0.0,0.44,4.0,4.08,4.75
Refrigerator,35.65,0,3.79,4.68,,,,,,12,20.0,2.16,3.67,3.51,0.11,0.78,0.41,1.31,1.32
Television,37.57,1,8.41,11.69,,,,33.0,,31,35.0,0.0,0.0,1.89,1.04,2.56,3.04,0.0,4.95
Server,54.7,1,1.05,4.61,28.0,25.0,,,,42,19.0,2.98,0.0,0.04,1.58,2.73,1.84,0.69,4.16
Camera,74.81,0,0.97,11.58,,21.0,,30.0,,42,41.0,1.72,1.33,0.0,0.0,3.76,0.0,1.0,2.43
Server,80.88,1,7.73,14.54,49.0,38.0,,,,39,21.0,3.97,0.0,1.99,3.84,4.47,0.0,0.0,2.71
Server,70.31,0,5.87,0.58,41.0,23.0,,,,18,31.0,3.28,3.3,1.03,1.74,0.14,4.95,0.0,0.0
Desktop,57.63,1,8.49,14.04,24.0,30.0,,,46.0,23,46.0,0.0,0.63,3.2,0.0,0.0,0.0,2.25,0.0
Smartwatch,79.24,0,7.08,0.65,16.0,39.0,44.0,26.0,,27,,0.0,2.97,3.33,2.94,4.72,4.38,3.08,0.7
Coffee Machine,52.69,1,5.43,3.68,,,,,,16,16.0,0.89,0.84,0.0,4.25,4.08,0.0,0.0,1.56
Router,32.11,1,6.28,7.82,47.0,18.0,,,,17,47.0,2.54,0.0,0.77,0.0,0.0,3.04,4.83,3.13
Tablet,89.43,1,9.1,8.07,41.0,22.0,43.0,48.0,,50,33.0,2.36,1.68,0.99,0.0,0.0,0.0,0.32,0.94
Microwave,79.12,0,9.32,6.05,,,,,,42,20.0,2.67,0.3,3.2,0.38,3.56,3.89,2.13,1.86
Tablet,76.99,0,7.74,1.51,44.0,20.0,35.0,44.0,,10,14.0,3.59,0.0,0.0,2.1,1.22,1.38,1.45,2.33
Television,68.2,1,0.33,6.53,,,,50.0,,13,36.0,4.63,1.59,0.0,0.0,2.7,0.0,0.45,0.0
Fax Machine,63.4,0,9.22,5.78,,,,13.0,20.0,12,42.0,0.0,2.45,1.24,3.65,0.0,0.0,1.47,0.05
Other,70.86,1,4.17,13.28,,,,,,19,42.0,0.0,3.99,0.0,0.13,1.86,0.0,0.92,1.87
Projector,91.38,1,9.1,7.44,,,,22.0,,32,25.0,0.0,3.39,0.0,0.0,1.93,0.78,4.89,3.17
Modem,63.4,0,7.84,4.74,35.0,21.0,,,,41,17.0,3.78,3.23,0.0,0.0,3.05,2.72,1.49,0.0
UPS,22.63,1,1.12,13.64,,,50.0,,,34,15.0,0.0,4.22,0.0,4.95,4.88,3.56,0.32,2.86
Mobile,26.28,0,2.21,3.58,31.0,17.0,16.0,20.0,,37,26.0,0.0,2.43,0.0,2.91,0.0,0.44,0.0,0.31
Monitor,90.97,0,8.6,0.5,,,,26.0,,10,38.0,2.86,0.36,0.0,2.23,1.27,2.23,3.14,0.0
Smartwatch,44.46,0,3.3,12.99,13.0,21.0,28.0,38.0,,33,,1.69,2.84,0.65,4.45,2.61,0.0,0.0,0.0
Hard Drive,29.2,1,6.37,4.06,,40.0,,,,19,11.0,3.01,0.0,3.54,0.0,0.0,0.0,1.48,4.24
Desktop,65.28,1,3.41,1.78,32.0,24.0,,,46.0,20,13.0,4.86,0.0,0.0,0.0,1.99,0.0,1.4,0.19
UPS,37.32,0,3.24,14.97,,,41.0,,,16,47.0,3.16,1.76,2.92,3.06,1.96,1.11,2.7,3.78
Washing Machine,61.48,0,4.63,11.06,,,,,,35,30.0,0.0,3.39,0.05,4.39,4.84,0.0,0.0,0.0
Monitor,94.38,0,1.14,2.3,,,,41.0,,14,43.0,2.28,2.91,0.94,0.0,1.22,0.0,4.7,3.68
Router,95.77,0,3.23,4.48,11.0,11.0,,,,32,36.0,4.8,0.0,4.84,3.42,0.0,0.0,1.81,4.34
Printer,97.41,1,4.03,7.55,,43.0,,,43.0,25,14.0,1.55,3.12,3.44,0.0,3.61,4.96,1.86,0.35
Router,99.25,0,5.38,10.31,35.0,46.0,,,,42,15.0,1.83,0.0,4.42,0.87,0.0,0.0,4.71,1.42
Accessories,56.96,0,3.0,10.8,,,,,,22,48.0,0.0,0.0,1.09,4.37,1.65,0.0,1.15,0.0
Printer,42.7,0,2.36,2.06,,14.0,,,29.0,48,28.0,0.55,1.17,0.0,3.96,1.79,0.0,0.0,2.67
Camera,93.14,0,3.04,12.67,,48.0,,49.0,,45,21.0,0.0,0.48,2.14,2.45,3.0,1.72,1.43,0.0
UPS,64.06,1,7.6,4.73,,,19.0,,,24,27.0,2.22,0.42,2.15,0.0,1.09,0.0,1.59,1.34
Television,24.68,0,0.4,3.58,,,,41.0,,34,10.0,1.21,3.42,2.29,1.43,3.13,1.91,1.51,0.0
Air Conditioner,60.84,1,3.64,1.25,,,,,,40,42.0,2.35,0.0,0.0,3.82,4.79,1.61,0.0,0.39
Laptop,99.73,1,4.6,11.55,35.0,49.0,18.0,15.0,40.0,13,48.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.99
Microwave,42.78,1,9.54,5.02,,,,,,24,13.0,3.64,1.74,1.73,3.16,0.0,0.0,0.0,0.0
Microwave,52.79,1,9.69,3.87,,,,,,40,19.0,4.61,0.3,2.56,3.38,1.92,0.0,3.72,0.0
Server,73.57,0,4.62,13.25,15.0,48.0,,,,25,41.0,0.0,0.0,0.0,1.72,1.42,0.0,4.19,0.47
Server,90.96,1,0.23,4.02,16.0,41.0,,,,46,19.0,0.0,0.0,1.36,0.0,0.54,3.57,0.0,2.21
Projector,23.46,1,0.42,0.34,,,,22.0,,44,26.0,0.73,0.0,4.64,4.51,4.21,0.27,4.69,0.41
Scanner,41.8,0,0.8,7.51,,,,30.0,,35,16.0,4.01,0.0,0.0,3.66,3.17,0.0,0.0,0.79
Game Console,30.4,0,9.49,4.72,50.0,25.0,,31.0,,31,19.0,3.87,0.47,3.81,0.0,3.45,1.97,0.07,0.0
Game Console,56.9,1,0.24,8.24,48.0,44.0,,19.0,,36,42.0,3.25,4.37,2.2,0.0,0.0,0.0,1.4,2.8
Coffee Machine,63.7,0,6.63,8.6,,,,,,23,19.0,0.5,0.47,0.55,0.0,0.0,2.13,4.67,3.78
Desktop,40.52,1,8.13,12.0,37.0,33.0,,,38.0,10,46.0,0.0,0.0,1.02,3.83,0.01,0.34,0.0,0.0
Projector,84.42,1,0.06,3.82,,,,45.0,,40,25.0,4.09,4.04,3.52,4.42,0.0,0.0,3.05,4.16
Camera,57.92,1,8.12,7.36,,20.0,,31.0,,30,28.0,0.96,0.0,1.37,0.0,4.12,0.0,4.56,0.0
Hard Drive,83.9,0,1.45,14.96,,39.0,,,,48,33.0,4.09,0.29,4.69,2.4,0.89,0.0,4.71,4.89
Router,25.73,1,4.25,1.13,16.0,31.0,,,,28,48.0,4.1,3.66,0.0,0.0,2.9,0.0,3.39,0.17
Hard Drive,25.56,1,7.18,3.59,,50.0,,,,45,23.0,0.0,1.17,1.35,2.21,0.0,0.31,0.32,2.93
Hard Drive,81.64,1,8.47,14.37,,28.0,,,,40,47.0,0.0,0.0,0.0,4.02,3.99,0.77,4.26,0.0
Tablet,79.67,0,4.83,4.48,42.0,48.0,21.0,42.0,,46,23.0,4.56,0.0,4.1,1.19,0.0,0.74,0.0,4.8
Monitor,67.2,1,9.93,14.85,,,,28.0,,17,40.0,3.73,1.3,0.0,3.58,3.53,0.91,3.25,0.0
Game Console,74.73,0,9.46,7.3,25.0,24.0,,16.0,,16,26.0,0.0,0.0,1.98,0.77,0.32,2.95,2.4,4.27
Mobile,69.76,1,3.16,0.01,27.0,34.0,43.0,37.0,,41,14.0,1.87,0.0,4.13,2.92,0.05,0.0,1.74,0.0
Camera,66.14,0,7.56,1.5,,12.0,,22.0,,46,22.0,3.85,0.0,0.97,1.46,2.09,0.19,2.67,2.46
Washing Machine,80.63,1,5.1,10.23,,,,,,39,26.0,0.0,4.07,0.0,2.69,4.27,1.77,3.61,0.0
Server,84.22,0,4.7,0.82,20.0,39.0,,,,17,15.0,0.48,4.33,1.56,2.67,2.22,2.54,3.37,2.22
Camera,31.71,0,3.81,7.3,,21.0,,13.0,,39,30.0,4.49,0.0,0.0,4.65,3.56,2.83,0.0,3.99
Projector,97.32,0,1.76,10.98,,,,38.0,,48,25.0,0.0,2.4,4.48,0.0,2.0,0.71,3.55,0.0
Air Conditioner,81.61,1,7.65,5.63,,,,,,33,24.0,0.0,0.88,4.72,4.15,2.4,0.0,1.85,1.75
Laptop,59.82,1,7.79,0.08,28.0,37.0,41.0,16.0,30.0,32,44.0,1.56,4.62,1.95,3.74,1.77,0.0,2.14,2.1
Accessories,97.44,0,5.46,13.88,,,,,,43,38.0,2.67,0.43,0.0,1.56,0.0,0.1,3.33,2.54
Television,41.98,0,2.42,9.29,,,,32.0,,24,49.0,0.0,1.84,4.73,2.34,0.66,2.74,0.0,0.0
Accessories,65.1,1,7.55,4.25,,,,,,25,43.0,0.21,0.0,1.67,3.01,3.73,0.67,1.26,0.0
Air Conditioner,72.27,1,5.71,9.27,,,,,,10,41.0,0.0,0.22,0.0,3.16,4.25,2.77,4.14,0.0
Refrigerator,53.78,0,7.95,9.74,,,,,,11,39.0,3.44,0.0,3.01,4.31,4.19,0.0,2.75,0.0
Server,89.34,0,9.28,4.54,15.0,47.0,,,,15,27.0,0.0,3.17,3.18,4.22,1.12,0.0,3.68,0.74
UPS,50.85,1,8.7,4.95,,,37.0,,,17,45.0,0.0,0.0,0.0,1.03,3.55,3.64,3.29,0.0
Set-top Box,48.56,1,5.54,10.58,35.0,10.0,,,,19,14.0,0.8,3.37,0.0,0.0,4.92,4.61,0.0,0.02
Washing Machine,63.24,0,9.78,0.55,,,,,,18,45.0,4.34,0.0,2.13,3.22,0.51,0.0,2.06,0.0
Television,68.01,1,8.32,10.55,,,,32.0,,19,38.0,3.87,0.0,4.74,2.62,1.94,0.0,1.86,1.83
Microwave,58.81,0,9.08,11.37,,,,,,35,33.0,0.89,3.47,2.06,1.89,2.61,0.0,1.8,0.0
Projector,81.43,0,9.21,9.7,,,,34.0,,36,14.0,0.0,3.06,4.67,0.95,0.0,0.0,2.07,0.0
Projector,43.67,1,2.06,12.05,,,,16.0,,12,36.0,0.0,0.0,4.91,0.0,2.62,3.55,0.05,0.04
Laptop,24.33,0,6.48,13.91,39.0,34.0,33.0,48.0,17.0,41,40.0,0.0,0.0,1.4,0.0,0.25,4.13,0.0,1.05
Monitor,93.79,0,2.17,11.71,,,,50.0,,28,14.0,3.67,0.29,0.98,0.0,2.47,1.07,0.0,0.08
Air Conditioner,33.03,0,7.6,5.06,,,,,,24,50.0,1.09,0.0,0.0,0.0,0.07,0.5,1.77,3.5
Microwave,76.2,1,8.0,0.7,,,,,,49,28.0,1.28,0.91,2.68,0.69,0.0,3.77,2.19,3.56
Accessories,93.28,1,4.05,1.0,,,,,,43,28.0,3.93,1.65,3.79,0.0,0.0,3.39,0.0,4.95
Monitor,63.18,0,2.27,2.4,,,,47.0,,40,13.0,2.12,1.55,0.0,4.86,1.72,0.08,2.79,0.0
Hard Drive,69.28,1,2.1,0.72,,10.0,,,,50,47.0,0.11,2.09,4.23,0.0,0.0,2.71,1.97,4.51
Washing Machine,64.98,1,2.05,6.11,,,,,,50,23.0,4.41,0.14,0.0,0.0,3.92,0.0,3.16,2.47
Other,68.25,1,5.4,0.4,,,,,,36,50.0,0.16,0.0,0.0,3.66,0.08,0.0,4.02,4.38
Printer,60.22,1,7.09,13.29,,39.0,,,37.0,50,49.0,0.86,1.53,0.0,0.0,3.66,4.33,4.33,2.37
Camera,74.35,1,6.66,3.18,,44.0,,32.0,,45,50.0,2.81,3.29,2.64,2.57,0.0,3.35,2.59,0.0
Modem,71.32,1,7.86,6.52,15.0,13.0,,,,24,14.0,3.89,2.3,0.0,0.73,1.63,3.96,0.0,0.0
Set-top Box,38.62,0,0.49,3.35,31.0,30.0,,,,15,46.0,3.77,4.92,3.38,2.47,0.0,0.0,0.0,0.26
Mobile,83.5,0,6.41,9.44,46.0,46.0,11.0,22.0,,12,19.0,2.14,0.0,4.97,0.0,1.11,0.0,0.0,0.0
Refrigerator,81.67,1,7.75,8.03,,,,,,28,14.0,3.46,2.86,0.67,0.02,2.4,4.9,3.4,1.91
Hard Drive,38.34,0,7.02,5.68,,13.0,,,,40,31.0,0.0,4.8,0.29,0.0,3.67,1.43,0.0,3.44
Scanner,81.59,0,8.98,3.41,,,,18.0,,16,40.0,4.51,0.97,3.79,0.0,3.67,0.0,0.0,3.63
Monitor,30.54,1,1.11,4.2,,,,46.0,,17,37.0,3.3,3.66,0.71,1.13,3.23,0.0,1.76,1.92
Air Conditioner,25.87,1,7.29,13.28,,,,,,25,19.0,1.69,0.0,4.29,3.57,0.0,0.0,3.24,1.18
Projector,24.32,1,4.86,12.48,,,,40.0,,42,49.0,3.56,3.21,0.0,0.0,0.0,3.07,0.0,2.28
Washing Machine,80.88,0,4.12,4.9,,,,,,40,16.0,2.12,1.79,1.29,1.32,1.32,0.19,0.0,3.22
Monitor,66.26,0,3.68,9.19,,,,20.0,,10,27.0,2.17,0.0,4.02,3.38,3.17,0.0,2.41,2.82
Air Conditioner,75.7,0,5.75,5.1,,,,,,16,16.0,2.52,0.0,1.75,3.83,3.22,0.0,1.49,4.75
Air Conditioner,35.25,0,3.74,6.84,,,,,,12,45.0,4.33,4.87,0.0,4.29,2.06,0.0,0.48,0.0
Set-top Box,37.25,1,8.18,9.64,11.0,21.0,,,,21,12.0,0.28,3.95,1.65,0.3,2.62,0.0,3.88,2.97
Coffee Machine,71.11,0,1.42,7.95,,,,,,27,34.0,0.0,1.73,1.2,1.98,0.48,1.57,0.55,0.0
Modem,50.12,0,6.64,1.43,28.0,13.0,,,,45,10.0,0.0,2.27,4.34,0.0,0.49,1.33,2.15,1.8
Air Conditioner,60.92,0,5.12,8.48,,,,,,22,41.0,0.86,2.76,0.25,0.71,1.64,4.74,0.0,1.0
Hard Drive,81.99,0,7.3,5.82,,46.0,,,,11,13.0,0.0,4.92,2.33,1.81,0.0,2.41,2.99,1.82
Set-top Box,69.87,1,8.81,5.67,22.0,19.0,,,,28,31.0,3.94,0.65,0.81,3.59,0.07,0.75,1.47,0.0
Server,27.35,1,7.92,6.77,41.0,37.0,,,,25,32.0,0.0,0.88,4.8,1.01,3.94,4.81,0.39,2.35
Accessories,27.5,0,8.69,8.44,,,,,,44,17.0,0.0,0.16,1.17,3.72,0.23,0.2,3.01,2.3
Air Conditioner,20.4,0,0.62,8.33,,,,,,30,50.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0
Game Console,83.3,1,7.17,8.46,16.0,42.0,,23.0,,18,10.0,3.13,0.0,3.31,2.85,2.95,1.48,0.13,0.0
Coffee Machine,30.12,0,2.71,1.57,,,,,,47,16.0,3.22,4.36,0.0,4.31,0.83,2.44,3.77,1.49
Smartwatch,89.49,1,6.43,1.62,14.0,19.0,36.0,12.0,,20,,4.94,1.0,0.0,0.0,2.96,0.0,0.0,2.61
Television,56.67,1,0.87,1.92,,,,32.0,,12,45.0,0.0,0.0,0.0,4.93,3.92,3.85,0.0,1.93
Game Console,32.88,0,3.01,7.52,12.0,29.0,,26.0,,12,47.0,1.79,1.28,0.54,0.0,0.0,0.01,4.56,3.89
Set-top Box,58.13,0,1.67,14.79,49.0,41.0,,,,45,25.0,2.7,3.85,0.94,0.0,0.0,4.49,3.61,0.0
Modem,64.35,1,8.88,4.75,41.0,10.0,,,,21,50.0,3.61,0.94,1.99,0.0,3.82,4.09,0.0,4.08
Router,81.09,1,4.37,6.41,35.0,23.0,,,,15,35.0,2.47,0.0,3.39,4.22,0.59,1.03,0.0,2.76
Washing Machine,69.45,1,5.81,1.66,,,,,,16,34.0,2.88,3.27,0.0,4.09,2.33,0.0,0.0,3.19
Game Console,78.26,0,1.68,2.66,39.0,39.0,,33.0,,38,41.0,2.12,2.69,0.6,0.0,2.95,1.73,0.31,3.84
Fax Machine,46.54,0,5.35,3.48,,,,43.0,22.0,50,13.0,3.43,2.2,2.17,4.45,2.64,2.03,0.0,0.47
Tablet,79.73,1,1.58,11.81,40.0,42.0,46.0,29.0,,30,18.0,0.0,2.41,3.04,1.19,2.27,0.0,4.57,1.92
Server,72.2,1,7.14,9.55,24.0,21.0,,,,26,27.0,3.16,1.64,4.59,2.57,0.0,2.94,1.11,1.73
Projector,30.66,1,8.2,5.95,,,,32.0,,31,12.0,3.34,3.59,0.84,0.0,0.03,0.67,0.0,4.76
Desktop,45.34,0,7.35,14.37,42.0,39.0,,,28.0,28,35.0,0.0,1.05,1.93,3.18,3.65,1.88,1.13,3.04
Other,24.24,1,1.06,8.52,,,,,,18,43.0,0.0,1.0,2.24,4.88,0.0,0.79,0.0,0.0
Server,62.92,0,3.84,12.15,19.0,47.0,,,,22,25.0,0.6,0.0,0.0,0.0,1.92,4.27,0.0,0.0
Fax Machine,27.38,1,4.57,3.91,,,,17.0,50.0,35,40.0,1.33,0.0,4.81,4.22,0.0,4.2,3.84,4.53
Set-top Box,62.93,0,9.75,4.52,28.0,15.0,,,,15,12.0,3.58,0.0,0.0,0.0,0.0,2.41,0.02,0.0
Set-top Box,61.93,1,2.0,8.68,11.0,33.0,,,,50,12.0,3.13,4.76,1.25,3.06,2.99,1.42,0.0,1.66
Monitor,49.49,0,3.64,7.17,,,,10.0,,24,35.0,4.28,0.0,0.0,3.29,3.03,0.0,4.27,2.75
Smartwatch,48.54,1,2.9,7.34,28.0,36.0,44.0,40.0,,50,,3.66,0.0,0.0,2.53,1.39,4.59,0.0,0.0
Mobile,30.22,1,1.55,3.63,29.0,14.0,10.0,30.0,,47,43.0,2.12,2.87,0.64,2.42,3.32,0.0,0.0,1.01
Scanner,71.78,0,0.96,2.53,,,,12.0,,49,20.0,2.15,0.32,3.15,1.98,1.37,1.37,1.61,4.64
Laptop,49.78,1,7.2,5.73,44.0,28.0,23.0,43.0,47.0,46,38.0,0.57,4.23,4.87,4.23,2.65,3.47,1.13,2.68
Printer,31.36,0,7.64,0.83,,30.0,,,23.0,32,49.0,1.47,4.32,3.4,3.95,1.23,0.0,1.35,0.07
Laptop,65.63,0,1.52,10.25,23.0,21.0,11.0,38.0,14.0,36,23.0,1.12,1.97,1.12,0.76,0.0,4.77,4.59,2.33
Modem,88.0,1,1.79,12.88,28.0,46.0,,,,29,45.0,1.67,1.21,4.47,0.0,0.0,1.88,0.0,1.79
Printer,98.74,1,2.03,2.67,,31.0,,,43.0,11,29.0,0.0,2.04,0.83,4.31,4.82,0.0,4.7,0.0
Other,39.86,0,7.56,14.76,,,,,,22,20.0,4.94,3.33,1.38,1.57,3.67,2.46,1.69,0.18
Air Conditioner,36.66,1,2.21,7.69,,,,,,38,45.0,0.37,2.83,4.95,4.0,3.3,2.48,0.0,4.13
UPS,72.5,1,7.96,6.19,,,33.0,,,24,18.0,1.43,2.42,2.68,1.96,3.4,4.12,1.89,0.34
Air Conditioner,47.22,1,8.93,7.51,,,,,,13,46.0,0.0,4.67,4.11,0.23,4.16,4.87,4.34,4.96
Modem,45.7,1,4.83,6.5,42.0,28.0,,,,49,22.0,0.0,3.05,0.51,0.0,0.24,0.0,2.6,0.0
Smartwatch,34.88,1,6.34,10.81,23.0,34.0,25.0,47.0,,47,,3.19,4.87,0.0,0.0,0.64,2.44,3.37,2.73
Printer,85.65,0,4.41,8.37,,25.0,,,19.0,24,33.0,2.41,3.72,2.65,0.1,1.07,0.0,3.92,4.43
Mobile,85.25,1,3.57,8.55,28.0,26.0,11.0,37.0,,24,17.0,4.34,4.61,0.0,0.0,3.09,2.61,2.44,4.02
Desktop,76.1,0,5.92,0.06,16.0,22.0,,,25.0,18,28.0,0.0,0.0,2.5,1.66,0.0,0.7,3.56,3.82
Hard Drive,40.65,1,8.29,10.29,,25.0,,,,22,46.0,1.86,2.35,0.0,1.93,1.41,0.0,3.31,0.0
Scanner,91.24,0,7.14,12.37,,,,19.0,,35,50.0,2.55,1.4,0.0,3.48,0.27,4.39,0.0,0.0
UPS,49.8,0,8.47,14.55,,,38.0,,,36,27.0,3.04,1.78,0.54,0.0,1.6,0.34,3.07,4.22
Desktop,22.48,1,8.01,13.21,18.0,20.0,,,20.0,20,22.0,0.66,2.13,0.0,2.85,2.92,0.9,4.26,4.9
Refrigerator,33.96,0,1.74,6.01,,,,,,46,15.0,0.0,3.52,2.72,0.0,0.0,4.04,1.34,0.0
Camera,30.26,0,8.95,2.81,,23.0,,47.0,,35,39.0,4.84,1.95,0.0,0.0,0.0,0.97,0.94,0.0
Fax Machine,84.7,0,6.87,3.64,,,,46.0,43.0,14,50.0,0.0,0.0,2.65,1.68,4.76,3.89,0.0,0.0
Microwave,56.93,0,3.06,12.66,,,,,,25,19.0,1.22,2.58,0.0,1.25,4.33,3.63,2.4,1.12
Television,48.21,0,7.94,7.66,,,,38.0,,49,38.0,0.0,0.0,0.0,2.64,0.31,0.0,2.82,4.96
Air Conditioner,95.32,0,6.98,13.51,,,,,,36,50.0,2.93,0.0,0.0,0.0,4.28,1.74,1.55,2.09
Projector,27.55,1,5.6,4.58,,,,21.0,,39,24.0,0.0,0.0,4.24,0.0,0.0,3.42,4.3,0.31
Laptop,83.13,1,1.04,2.73,45.0,11.0,22.0,16.0,49.0,44,46.0,0.0,1.88,1.61,0.0,3.14,1.8,4.26,0.0
Hard Drive,85.14,0,3.7,6.23,,46.0,,,,50,36.0,2.33,3.64,0.0,0.0,1.56,0.93,0.0,0.6
Other,86.87,0,2.52,2.22,,,,,,41,10.0,3.1,2.67,4.77,0.0,1.73,2.58,2.5,1.14
UPS,30.95,1,7.62,13.49,,,23.0,,,19,22.0,0.0,0.0,0.0,0.36,3.2,0.87,4.53,0.0
Game Console,63.31,0,5.07,5.5,36.0,32.0,,21.0,,28,17.0,4.5,0.0,3.57,0.0,3.13,4.13,0.0,1.54
Television,58.74,0,9.02,2.23,,,,37.0,,37,38.0,4.07,1.53,0.0,2.48,3.06,3.69,4.9,2.96
Hard Drive,50.67,0,9.11,0.81,,24.0,,,,21,10.0,4.47,2.41,0.0,4.97,3.99,0.0,0.0,0.0
Refrigerator,29.78,0,5.1,2.22,,,,,,44,28.0,3.89,0.08,0.8,3.29,4.14,0.0,0.0,0.46
Air Conditioner,80.2,0,6.92,3.3,,,,,,50,22.0,3.68,0.0,0.51,0.99,0.04,2.37,3.77,0.0
Desktop,93.84,0,1.7,5.5,22.0,13.0,,,36.0,17,31.0,1.52,0.0,3.25,0.0,1.56,3.34,2.05,3.9
Monitor,75.71,0,5.25,10.38,,,,27.0,,44,45.0,4.51,3.73,0.87,0.0,1.14,4.06,0.0,1.12
Mobile,69.27,0,3.79,6.99,37.0,29.0,37.0,47.0,,10,36.0,1.42,0.79,4.09,0.0,3.87,0.53,3.49,3.51
Smartwatch,38.98,0,4.9,4.23,22.0,47.0,17.0,45.0,,33,,0.0,1.37,1.63,0.0,1.89,4.58,0.0,3.86
Refrigerator,20.56,0,5.01,5.49,,,,,,37,17.0,0.0,0.0,0.0,0.0,3.32,2.38,3.62,0.0
Modem,28.58,0,1.05,5.5,28.0,42.0,,,,16,18.0,0.0,2.65,3.05,1.93,3.59,4.87,2.06,0.0
Laptop,94.55,1,3.19,3.29,11.0,48.0,16.0,22.0,29.0,43,44.0,0.0,0.91,3.56,0.0,1.71,0.03,0.0,0.0
Projector,78.48,1,5.88,13.85,,,,13.0,,15,46.0,1.78,3.89,3.34,3.24,4.91,0.44,5.0,0.0
Tablet,71.53,0,5.83,5.79,24.0,10.0,33.0,29.0,,45,45.0,0.33,3.84,0.23,0.18,2.68,0.0,3.87,0.0
Washing Machine,39.9,0,0.75,0.36,,,,,,34,15.0,4.02,1.22,3.39,4.46,0.0,0.0,1.27,4.25
Laptop,34.66,1,5.56,8.85,12.0,47.0,49.0,10.0,42.0,35,16.0,1.76,0.7,4.66,0.16,0.0,2.02,2.82,1.8
Smartwatch,44.84,1,3.59,13.82,49.0,48.0,17.0,34.0,,15,,2.41,2.28,4.47,0.0,2.44,0.54,0.0,4.7
Fax Machine,49.97,0,7.87,3.53,,,,16.0,39.0,31,44.0,3.58,0.0,2.57,0.0,0.0,0.12,1.62,2.48
Mobile,80.39,0,6.04,1.3,25.0,27.0,16.0,25.0,,15,10.0,0.0,3.96,0.0,1.27,1.85,3.07,2.43,4.43
Router,49.05,0,2.7,10.99,15.0,50.0,,,,38,24.0,0.0,3.0,0.0,0.04,2.5,0.0,0.0,4.51
Air Conditioner,45.11,1,9.96,11.28,,,,,,47,34.0,1.15,4.92,0.0,1.37,0.0,0.0,3.93,4.73
Game Console,71.05,1,6.54,9.33,20.0,35.0,,18.0,,23,10.0,2.42,0.98,4.82,0.0,4.15,2.94,2.72,3.1
Coffee Machine,74.08,1,1.43,0.33,,,,,,41,23.0,2.26,4.84,0.0,3.26,0.0,1.13,1.04,2.66
Refrigerator,69.97,1,1.19,3.82,,,,,,46,39.0,1.16,3.17,0.0,4.26,0.58,3.5,2.3,0.83
Other,54.54,1,2.59,5.11,,,,,,31,46.0,4.74,2.34,2.12,3.94,4.64,3.72,0.0,0.0
Laptop,59.65,1,1.58,8.78,42.0,46.0,37.0,47.0,46.0,11,22.0,4.91,0.0,3.35,2.55,0.12,0.24,0.0,0.0
Router,26.58,1,1.06,5.51,18.0,20.0,,,,17,13.0,4.07,0.0,0.0,2.79,2.73,3.81,0.0,0.51
Server,54.52,1,6.56,12.48,28.0,35.0,,,,22,14.0,0.0,0.0,1.45,0.0,4.63,0.53,3.75,1.33
Printer,65.17,1,6.8,5.85,,50.0,,,38.0,43,24.0,0.0,0.0,1.63,0.86,0.0,1.87,3.45,0.0
Printer,27.4,0,4.18,10.3,,12.0,,,30.0,44,20.0,4.39,0.43,3.0,4.43,1.5,2.97,3.48,0.0
Coffee Machine,42.58,1,1.75,0.89,,,,,,42,25.0,0.0,0.0,0.0,4.91,0.0,2.07,0.0,0.0
Smartwatch,88.98,0,4.27,14.7,13.0,46.0,20.0,44.0,,38,,1.33,0.6,0.0,0.0,3.79,0.0,2.44,0.0
Scanner,41.53,0,9.68,12.02,,,,39.0,,26,25.0,4.94,3.59,3.5,2.58,0.0,4.34,0.0,3.14
